molport_number,smiles,mw,heavy_atoms,num_atoms,logp,hbd,hba,rotatable_bonds,pains
MolPort-000-165-376,COc1cc(O)c2C(=O)CC(Oc2c1)c1ccc(O)cc1,286.283,21,21,2.812900000000001,2,5,2,False
MolPort-000-733-857,[I-].C[N+](C)(C)CCc1ccc(O)cc1,307.175,14,14,-1.355099999999997,1,1,3,False
MolPort-000-769-536,COc1c(O)cc2c3c1oc(=O)c1cc(O)c(OC)c(oc2=O)c31,330.2480000000001,24,24,1.9188,2,8,2,False
MolPort-000-871-937,Oc1ccc(O)cc1,110.11199999999998,8,8,1.0978,2,2,0,False
MolPort-000-881-260,OC(=O)c1cc(O)c(O)c(O)c1,170.11999999999998,12,12,0.5015999999999998,4,4,1,True
MolPort-001-739-244,CCCCCCCCCCC1C(=O)OC(C(O)=O)C1(O)C(O)=O,330.37700000000007,23,23,1.9591,3,5,11,False
MolPort-001-739-307,C\C=C\C=C\C(=O)C1=C(O)C2(C)C3C(C(=O)\C=C\C=C\C)=C(O)[C@]4(C)C1[C@]1(C)O[C@@]4(O)[C@@]3(C)O[C@]21O,496.5560000000003,36,36,3.254200000000002,4,8,6,False
MolPort-001-739-339,OC(=O)c1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,300.22200000000004,22,22,1.277,4,6,1,True
MolPort-001-739-452,CCC(O)CC1CCC(O1)C(C)C(=O)OC(CC)CC1CCC(O1)C(C)C(O)=O,414.5390000000002,29,29,3.311300000000002,2,6,11,False
MolPort-001-739-792,CC(O)\C=C\C1OC(=O)CC1Nc1ccc(C=O)cc1,275.304,20,20,1.5321,2,5,5,False
MolPort-001-740-516,CC(CCc1ccc(O)cc1)O[C@@H]1O[C@H](CO[C@@H]2OC(CO)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,460.4760000000001,32,32,-2.0068999999999986,7,11,9,False
MolPort-001-740-814,C[C@]12CC[C@@H](O)C(=C)C1C[C@@H](CC2)C(=C)C(O)=O,250.33799999999997,18,18,2.760700000000001,2,2,2,False
MolPort-001-741-019,CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)C(CCC4[C@@]5(C)[C@H]([C@H](O)C(C)(C)C5CC[C@@]34C)C(O)=O)C12)C(O)=O,486.6930000000003,35,35,6.010100000000005,3,3,3,False
MolPort-001-741-100,OC1COC(OCC2OC(Oc3cc(O)cc4oc(=O)cc(-c5ccc(O)c(O)c5)c34)C(O)C(O)C2O)C(O)C1O,580.4950000000003,41,41,-1.7812000000000012,9,15,6,True
MolPort-001-741-103,COc1cc(OC2OC(COC3OCC(O)(CO)C3O)C(O)C(O)C2O)c2c(cc(=O)oc2c1)-c1ccc(O)c(O)c1,594.5220000000003,42,42,-1.4765999999999986,8,15,8,True
MolPort-001-742-275,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(oc4cc(O)cc(O)c4c3=O)-c3ccc(O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,610.5210000000004,43,43,-2.420300000000001,10,16,7,False
MolPort-001-742-474,COc1ccc2c(c1)oc(-c1ccccc1)c(O)c2=O,268.26800000000003,20,20,3.174200000000002,1,4,2,False
MolPort-001-742-556,CC1(C)[C@@H]2CC[C@]3(C2)[C@H](CC[C@@H]3C1=C)C(O)=O,234.339,17,17,3.479700000000002,1,1,1,False
MolPort-001-742-637,CC(=O)OC\C=C(/C)C(=O)OC1CC2(C)OC(=CC2=O)\C(C)=C\C2OC(=O)C(=C)C12,416.4260000000002,30,30,2.0973,0,8,4,False
MolPort-001-797-985,COc1cccc2c1cc([N+]([O-])=O)c1c(cc3OCOc3c21)C(O)=O,341.2750000000001,25,25,3.336700000000002,1,6,3,False
MolPort-002-506-906,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,316.48500000000007,23,23,4.515300000000004,1,2,1,False
MolPort-002-507-209,C[C@H]1CC[C@H]2[C@H](C)[C@H]3CC[C@]4(O)[C@@H](C[C@H]5[C@H]4C[C@H](O)[C@H]4C[C@H](O)CC[C@]54C)[C@@H]3CN2C1,431.6610000000002,31,31,3.6781000000000015,3,4,0,False
MolPort-002-523-502,CN1CCc2c(C1)[nH]c1ccccc21,186.258,14,14,2.1558,1,1,0,True
MolPort-002-524-038,C[C@H]1[C@H]2[C@H](CC3[C@@H]4CC[C@H]5C[C@@H](CC[C@]5(C)C4CC(=O)[C@]23C)OC(C)=O)O[C@]11CC[C@@H](C)CO1,472.6660000000004,34,34,5.543600000000006,0,5,1,False
MolPort-002-526-599,CO[C@H]1C[C@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)O[C@H](C)[C@H]1O,548.6730000000005,39,39,2.4333000000000005,3,9,5,False
MolPort-002-528-529,C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@H](CC[C@]34C=O)OC3OCC(O)C(O)C3O)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1,536.6180000000002,38,38,0.3615000000000004,5,10,4,False
MolPort-002-531-631,O=C1CC2=C[C@H](NCCc3c[nH]c4ccccc34)[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31,377.4880000000003,28,28,2.921100000000001,2,4,4,False
MolPort-002-534-172,NC(CSCc1ccccc1)C(O)=O,211.286,14,14,1.3317,2,3,5,False
MolPort-002-534-834,CC(C)(O)CC[C@@H](O)[C@](C)(O)C1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,464.6430000000004,33,33,2.8832000000000013,5,6,5,False
MolPort-003-926-266,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NCc3ccccc3)ncnc12,357.37000000000006,26,26,0.0498999999999989,4,8,5,False
MolPort-003-933-186,CCCCCCCC\C=C/CCCCCCCCCC(O)=O,310.522,22,22,6.888700000000007,1,1,17,False
MolPort-003-938-764,[Cl-].COc1cc(cc(OC)c1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,528.8940000000002,36,36,-2.3024,7,11,6,False
